 title_x , imdb_id , poster_path , wiki_link , title_y , original_title , is_adult , year_of_release , runtime , genres , imdb_rating , imdb_votes , story , summary , tagline , actors , wins_nominations , release_date , yt ,tplus
 Anand (1971 film) , tt0066763 , https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Anand_film.jpg/220px-Anand_film.jpg , https://en.wikipedia.org/wiki/Anand_(1971_film) , Anand , Anand ,0,1971,122, Drama|Musical ,8.8,23953, Dr Bhaskar Bannerjee is not happy with his profession as he cant save the lives of people dying of illness due to poverty.His Dr friend Kulkarni charges huge for imaginary illness of rich and uses that money to people who cant afford treatment.Things change when Anand a cancer patients enters Bhaskar's life Anand is cheerful and believes in spreading happiness to everyone as he knows he is on last stage of cancer and has few months to live.Bhaskar and Anand bond very well Anand also gets Bhaskar's love life back on track and Bhaskar doesn't want him to loose anymore.As time passes Anand's condition starts to deteriorate and everyone around him is just hoping for a miracle. , The story of a terminally ill man who wishes to live life to the full before the inevitable occurs  as told by his best friend. ,  , Rajesh Khanna|Amitabh Bachchan|Sumita Sanyal|Ramesh Deo|Seema Deo|Asit Kumar Sen|Dev Kishan|Atam Prakash|Lalita Kumari|Savita|Brahm Bhardwaj|Gurnam Singh|Lalita Pawar|Durga Khote| , 9 wins , 12 March 1971 (India) , vdoMF0qwtAQ ,
 Koshish , tt0215911 , https://upload.wikimedia.org/wikipedia/en/thumb/3/30/KoshishFilmPoster.jpg/220px-KoshishFilmPoster.jpg , https://en.wikipedia.org/wiki/Koshish_(1972_film) , Koshish , Koshish ,0,1972,125, Drama ,8.6,1323, Romantic drama spaning nearly 20 years involving a deaf-mute couple  Haricharian and Aarti. Deaf and dumb bicycle messenger Haricharian meets equally deaf Aarti  and persuades her to go to sign language school to communicate with her mother and brother. The courtship leads to marriage and ultimately a child born to them. Years later  after the death of Aarti from a brief illness  Haricharian's teenage son tries to deal with the after effects as well as his history of being raised by two deaf parents when he begins courting another young girl who also happens to be deaf. , Romantic drama spaning nearly 20 years involving a deaf-mute couple  Haricharian and Aarti. Deaf and dumb bicycle messenger Haricharian meets equally deaf Aarti  and persuades her to go to ... ,  , Sanjeev Kumar|Jaya Bachchan|Asrani|Seema Deo|Om Shivpuri|Dina Pathak|Nitin Sethi|Atam Prakash|Urmila Bhatt|Master Chintu|Manjula|Mona Rajput|Nasir|Kamaldeep| , 2 wins & 5 nominations , 27 November 1972 (India) , vsfGsMGd0bw ,
 Pyaasa , tt0050870 , https://upload.wikimedia.org/wikipedia/en/9/93/Pyaasa_poster.jpg, https://en.wikipedia.org/wiki/Pyaasa_(1957_film) , Pyaasa , Pyaasa ,0,1957,146, Drama|Musical|Romance ,8.5,4767, Unemployed Vijay is the youngest in his family consisting of his widowed mom  and two brothers. His passion is poetry - frowned upon by his brothers - who want him to find gainful employment instead. Vijay's poems are quite radical in which he laments about the poor  the destitute  and the arrogance of the rich after the departure of the British from India. His efforts to get them published are in vain. He takes to drinking  gets in trouble with the law  is disowned by his brothers  ends up at a brothel and befriends a prostitute named Gulabo. Gulabo is sympathetic  listens to him as he pours his heart out  and decides to assist Vijay. Watch what happens when Gulabo approaches some of her affluent clientèle to assist Vijay and try and get his work published  without revealing that they are written by an alcoholic  disheveled  homeless man. , A talented but indigent poet Vijay struggles for love and recognition in this selfish world. ,  , Guru Dutt|Waheeda Rehman|Mala Sinha|Rehman|Johnny Walker|Kumkum|Leela Mishra|Shyam|Mehmood|Radheshyam|Tun Tun|Maya Dass|Moni Chatterjee|Ashita| ,  , 19 February 1957 (India) ,WJK45r-j6TU,125
 Masoom (1983 film) , tt0085913 , https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Masoom_1983.jpg/220px-Masoom_1983.jpg , https://en.wikipedia.org/wiki/Masoom_(1983_film) , Masoom , Masoom ,0,1983,165, Drama|Family|Musical ,8.5,3204, D.K. Malhotra lives a comfortable lifestyle with his wife  Indu  and two school-going daughters  Pinky and Minni. He works in the office of an Architect. One day while the family is relaxing  D.K. gets a phone call that results in him bringing home a young school-going boy by the name of Rahul. Indu is shocked to learn that Rahul is D.K.'s son from another woman  Bhavana  who is no more. D.K. does his best to make Rahul comfortable  but fails. Rahul also feels that Indu does not really like him  though Pinky and Minni have taken to him in a big way. Finally  D.K. decides to admit Rahul in a boarding school in far off Nainital. Rahul reluctantly goes along with this new-found uncle/friend. It is when Rahul is asked to put his papers together for school that Rahul finds out that D.K. is his biological father. Watch what happens when Rahul disappears from D.K.'s house  and the impact this has on D.K.  Indu  and her two daughters. , A happy family goes through turbulent times because of a big mistake by one of the family members. , Can this boy destroy your family? , Naseeruddin Shah|Shabana Azmi|Jugal Hansraj|Urmila Matondkar|Aradhana Srivastav|Saeed Jaffrey|Tanuja|Supriya Pathak|Satish Kaushik|Aziz Qureshi|Pran Talwar|Ram Gopal Bajaj|Anila Singh|A. Kukereja| , 5 wins & 2 nominations , 22 October 1983 (India) , g8KyTfOJ8Ww ,
 Sadma , tt0086230 , https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Sadmafilm.jpg/220px-Sadmafilm.jpg , https://en.wikipedia.org/wiki/Sadma , Sadma , Sadma ,0,1983,141, Romance ,8.5,2683, A young woman receives a head injury in an automobile accident and becomes like a six-year-old. She leaves the hospital unattended and ends up in a brothel. She is rescued by a young man who takes her to his home in the mountains. Meanwhile  her parents and the police are looking for her... , A head injury causes a woman to regresses to childhood. Lost and confused  she is eventually befriended by a school teacher. ,  , Kamal Haasan|Sridevi|Gulshan Grover|Silk Smitha|Paintal|Arvind Deshpande|Viju Khote|H.J. Imam|Birbal|Leela Mishra|Ashalata Wabgaonkar|Padma Chavan|Jansi|Iftekhar| , 2 nominations , 8 July 1983 (India) , aur0cHjPXnw ,
 Do Bigha Zamin , tt0045693 , https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Do_Bigha_Zamin.jpg/220px-Do_Bigha_Zamin.jpg , https://en.wikipedia.org/wiki/Two_Acres_of_Land , Do Bigha Zamin , Do Bigha Zamin ,0,1953,131, Drama ,8.4,1537, A small Bengali landowner and his young son are in danger when their two-acre farmland where they live is in danger of being taken over by a local zamindar (feudal lord) for failure to pay for mounting debits. They move to Calcutta where the father tries making a living as a rickshaw puller while his wife joins him but falls ill which threatens everything they have going to try to save their ancestorial home. , In the hope of earning enough money to pay off his debts and save his land  a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties. ,  , Balraj Sahni|Nirupa Roy|Rattan Kumar|Murad|Rajlakshmi Devi|Nana Palsikar|Noor|Nasir Hussain|Rekha Mallick|Misra|Chitra|Jagdeep|Sarita Devi|Dilip Kumar Jr.| , 4 wins & 1 nomination , 1953 (India) , gLvP-G9AIas ,
 Jagte Raho , tt0049378 , https://upload.wikimedia.org/wikipedia/en/2/28/Jagte_Raho_1956_film_poster.jpg , https://en.wikipedia.org/wiki/Jagte_Raho_(1956_film) , Stay Alert , Jagte Raho ,0,1956,153, Comedy|Drama ,8.4,773, In hopes of improving his lifestyle  a poor peasant re-locates to Kolkata virtually penniless. It is late at night and he is thirsty  and he is unable to find water anywhere. A singing drunk offers him money to buy some alcohol  but the money is snatched away by a taxi-driver. In desperation  the peasant attempts to drink from a fire hydrant  but is stopped by a Police Constable. Then he sneaks into a multi-storied apartment complex  and is mistaken for a thief. The entire building  which consists of over 200 units  housing nearly a 1000 people  set out to hunt him down. He first stumbles into the house of Kailash - who makes illicit alcohol  while his daughter is secretly romancing another tenant  Pradeep; the peasant then runs into another apartment - just in time to see the husband attempting to steal his wife  Meenu's valuables  so that he can get enough money to gamble on a race-horse; he hides in a drum and makes his way around the huge building and ends up as a corpse at the ... , An innocent guy who has arrived from a village to Kolkata gets himself involved into trouble in search of water after he gets thirsty in the middle of the night. ,  , Pradeep Kumar|Sumitra Devi|Smriti Biswas|Pahadi Sanyal|Sulochana Chatterjee|Daisy Irani|Nemo|Motilal|Nana Palsikar|Iftekhar|Vikram Kapoor|Moni Chatterjee|Parsuram|Bhupendra Kapoor| , 1 win & 1 nomination , 1956 (India) , 72qLogUlJRQ ,
 Chupke Chupke , tt0072783 , https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Chupke_Chupke_1975.jpg/220px-Chupke_Chupke_1975.jpg , https://en.wikipedia.org/wiki/Chupke_Chupke , Chupke Chupke , Chupke Chupke ,0,1975,146, Comedy|Drama|Romance ,8.4,10409, Raghav brags that he can smell a rat or an impersonator automatically  and Dr. Parimal Tripathi decides to take him on - result: funny family slapstick comedy  with a dose of pure Hindi and Urdu thrown in  especially the dialogue delivery by Om Prakash  Dharmendra  and Amitabh Bachchan. Notable songs are :Sare ga ma  ma sa re ga ma....\ ; \ Ab ke sajan sawan me  aag lagegi badan mein  ghata barshegi  magar tarsegi nazar  mil na sakenghe do mahn ek hi aagan mein...\ ; \ Chupke chupke chal di purvaiya  basuri bajaike raas rachaye daiya re daiya  chupke...\ . , A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends. ,  , Dharmendra|Sharmila Tagore|Amitabh Bachchan|Jaya Bachchan|David Abraham|Usha Kiran|Lily Chakravarty|Keshto Mukherjee|Dev Kishan|Om Prakash|Lalita Kumari|Naina Apte|Chaitali|Aarti| ,  , 11 April 1975 (India) , jvHljUsjGbs ,
 Boot Polish (film) , tt0046799 , https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Boot_Polish_1954_film_poster.jpg/220px-Boot_Polish_1954_film_poster.jpg , https://en.wikipedia.org/wiki/Boot_Polish_(1954_film) , Boot Polish , Boot Polish ,0,1954,149, Comedy|Drama|Family ,8.2,651, Toddlers Belu and Bhola share an uncertain future when their mom dies in the plague  and their dad is imprisoned. They are then left in the uncaring care of Kamla  their aunt  who moonlights as a prostitute. She is cruel abusive and forces them to take to a life of begging on the local trains  on beaches and crowded areas in Bombay. This is how the toddlers grow up  they want to lead a respectable life  and with the help of bootlegger John  they get a shoe-shine kit and start shining shoes on busy sidewalks and railway platforms. Their circumstances face more uncertainty when Kamla finds out about their new-found profession  beats them up and throws them out of the house. They temporarily seek shelter with John  but when he is arrested  they have to fend for themselves. Things become bad to worse when Bombay enters the monsoon season  when people do not get their shoes shined; then the duo are separated - with Belu ending up with a rich family  and when she asks about Bhola  she is ... , Preteen brother and sister  abandoned by their father to care of an abusive prostitute aunt  survive life in an Indian squatters' camp  aided by a friendly cripple  by learning to shine shoes instead of begging. ,  , Kumari Naaz|Rattan Kumar|David Abraham|Chand Burke|Veera|Bhupendra Kapoor|Shailendra|Mohanbali|Nissar|Bhudo Advani| , 4 wins & 1 nomination , 20 August 1958 (USA) , ukmpbL0KVww ,
 Ijaazat , tt0091256 , https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Ijaazat_%28movie_poster%29.jpg/220px-Ijaazat_%28movie_poster%29.jpg , https://en.wikipedia.org/wiki/Ijaazat , Permission , Ijaazat ,0,1987,137, Drama|Musical|Romance ,8.2,1180, Mahendra is in love with Maya and would like to marry her. But Maya is a woman of the 20th century  who does not believe in marriage  but would like to continue having a relationship. Mahendra's family pressures him into getting married  and he finally gives in and marries another woman by the name of Sudha. But Mahendra is unable to get Maya out of his mind  and his marriage with Sudha fails  and ends up with a formal separation. Years later  Mahendra and Sudha meet at a railway station  and both do remember each other  and share their experiences after their separation. There is one shocking experience that sudha does not share  but which Mahendra will find out soon. , Meeting accidentally five years after their divorce  a couple reflects on how their marriage collapsed despite transparency. ,  , Rekha|Naseeruddin Shah|Anuradha Patel|Ram Mohan|Sulabha Deshpande|Dina Pathak|Rita Rani Kaul|Ashok Mehta|Rajesh Bombaywala|Ashfaque Ahmed|Bhupinder Sharma|Sunil Advani|Bhaijee|Bhola| , 4 wins & 1 nomination , 8 July 1987 (India) , yRb3rUv5sHY ,
